OBJECTID,CSA2010,Cluster
1,Allendale/Irvington/S. Hilton,2
2,Beechfield/Ten Hills/West Hills,3
3,Belair-Edison,2
4,Brooklyn/Curtis Bay/Hawkins Point,2
5,Canton,1
6,Cedonia/Frankford,2
7,Cherry Hill,2
8,Chinquapin Park/Belvedere,1
9,Claremont/Armistead,2
10,Clifton-Berea,4
11,Cross-Country/Cheswolde,5
12,Dickeyville/Franklintown,2
13,Dorchester/Ashburton,2
14,Downtown/Seton Hill,4
15,Edmondson Village,2
16,Fells Point,1
17,Forest Park/Walbrook,2
18,Glen-Fallstaff,5
19,Greater Charles Village/Barclay,1
20,Greater Govans,2
21,Greater Mondawmin,4
22,Greater Roland Park/Poplar Hill,5
23,Greater Rosemont,4
24,Greenmount East,4
25,Hamilton,2
26,Harbor East/Little Italy,4
27,Harford/Echodale,2
28,Highlandtown,1
29,Howard Park/West Arlington,2
30,Inner Harbor/Federal Hill,1
31,Lauraville,2
32,Loch Raven,3
33,Madison/East End,4
34,Medfield/Hampden/Woodberry/Remington,1
35,Midtown,1
36,Midway/Coldstream,4
37,Morrell Park/Violetville,2
38,Mount Washington/Coldspring,3
39,North Baltimore/Guilford/Homeland,5
40,Northwood,2
41,Oldtown/Middle East,4
42,Orangeville/East Highlandtown,2
43,Patterson Park North & East,1
44,Penn North/Reservoir Hill,4
45,Pimlico/Arlington/Hilltop,4
46,Poppleton/The Terraces/Hollins Market,4
47,Sandtown-Winchester/Harlem Park,4
48,South Baltimore,3
49,Southeastern,2
50,Southern Park Heights,4
51,Southwest Baltimore,4
52,The Waverlies,1
53,Upton/Druid Heights,4
54,Washington Village/Pigtown,2
55,Westport/Mount Winans/Lakeland,2
